Tipo de Generacion de Energia;Total de Energia;Porcentaje;Ano
Ciclo combinado GWh;557;6;2001
Turbinas a gas GWh;1918;20;2001
Turbinas a vapor GWh;2630;28;2001
Motores diesel GWh;3634;39;2001
Hidraulica GWh;696;7;2001
Solar GWh;0;0;2001
Ciclo combinado GWh;1608;16;2002
Turbinas a gas GWh;1918;20;2002
Turbinas a vapor GWh;2630;28;2002
Motores diesel GWh;3634;39;2002
Hidraulica GWh;696;7;2002
Solar GWh;0;0;2002
Ciclo combinado GWh;1430;14;2003
Turbinas a gas GWh;1186;11;2003
Turbinas a vapor GWh;2297;22;2003
Motores diesel GWh;4290;41;2003
Hidraulica GWh;1193;11;2003
Solar GWh;0;0;2003
Ciclo combinado GWh;2426;27;2004
Turbinas a gas GWh;17;0;2004
Turbinas a vapor GWh;1679;19;2004
Motores diesel GWh;3145;35;2004
Hidraulica GWh;1600;18;2004
Solar GWh;0;0;2004
Ciclo combinado GWh;2380;24;2005
Turbinas a gas GWh;17;0;2005
Turbinas a vapor GWh;1994;20;2005
Motores diesel GWh;3524;36;2005
Hidraulica GWh;1908;19;2005
Solar GWh;0;0;2005
Ciclo combinado GWh;2830;26;2006
Turbinas a gas GWh;110;1;2006
Turbinas a vapor GWh;2307;22;2006
Motores diesel GWh;3711;35;2006
Hidraulica GWh;1750;16;2006
Solar GWh;0;0;2006
Ciclo combinado GWh;2820;25;2007
Turbinas a gas GWh;393;4;2007
Turbinas a vapor GWh;2320;21;2007
Motores diesel GWh;3854;35;2007
Hidraulica GWh;1701;15;2007
Solar GWh;0;0;2007
Ciclo combinado GWh;3493;30;2008
Turbinas a gas GWh;379;3;2008
Turbinas a vapor GWh;2359;20;2008
Motores diesel GWh;4032;35;2008
Hidraulica GWh;1384;12;2008
Solar GWh;0;0;2008
Ciclo combinado GWh;3041;26;2009
Turbinas a gas GWh;512;4;2009
Turbinas a vapor GWh;2489;22;2009
Motores diesel GWh;4023;35;2009
Hidraulica GWh;1464;13;2009
Solar GWh;0;0;2009
Ciclo combinado GWh;3113;25;2010
Turbinas a gas GWh;1279;10;2010
Turbinas a vapor GWh;2426;20;2010
Motores diesel GWh;4020;33;2010
Hidraulica GWh;1435;12;2010
Solar GWh;0;0;2010
Ciclo combinado GWh;3511;27;2011
Turbinas a gas GWh;1524;12;2011
Turbinas a vapor GWh;2239;17;2011
Motores diesel GWh;4156;32;2011
Hidraulica GWh;1531;12;2011
Solar GWh;0;0;2011
Ciclo combinado GWh;3300;24;2012
Turbinas a gas GWh;1428;10;2012
Turbinas a vapor GWh;2829;20;2012
Motores diesel GWh;4439;32;2012
Hidraulica GWh;1784;13;2012
Solar GWh;0;0;2012
Ciclo combinado GWh;2977;21;2013
Turbinas a gas GWh;2233;16;2013
Turbinas a vapor GWh;2066;15;2013
Motores diesel GWh;4740;34;2013
Hidraulica GWh;1883;13;2013
Solar GWh;0;0;2013
Ciclo combinado GWh;2536;18;2014
Turbinas a gas GWh;2296;16;2014
Turbinas a vapor GWh;2214;15;2014
Motores diesel GWh;5726;40;2014
Hidraulica GWh;1323;9;2014
Solar GWh;0;0;2014
Ciclo combinado GWh;3069;21;2015
Turbinas a gas GWh;2432;16;2015
Turbinas a vapor GWh;2101;14;2015
Motores diesel GWh;6136;41;2015
Hidraulica GWh;934;6;2015
Solar GWh;0;0;2015
Ciclo combinado GWh;3655;23;2016
Turbinas a gas GWh;1428;9;2016
Turbinas a vapor GWh;2141;13;2016
Motores diesel GWh;6831;43;2016
Hidraulica GWh;1500;9;2016
Solar GWh;23;0;2016
Ciclo combinado GWh;5193;32;2017
Turbinas a gas GWh;399;2;2017
Turbinas a vapor GWh;2460;15;2017
Motores diesel GWh;5634;35;2017
Hidraulica GWh;2205;14;2017
Solar GWh;35;0;2017
Ciclo combinado GWh;6240;35;2018
Turbinas a gas GWh;168;1;2018
Turbinas a vapor GWh;2457;14;2018
Motores diesel GWh;6213;35;2018
Hidraulica GWh;2090;12;2018
Solar GWh;74;0;2018
Ciclo combinado GWh;4455;23;2019
Turbinas a gas GWh;1191;6;2019
Turbinas a vapor GWh;4166;22;2019
Motores diesel GWh;7464;39;2019
Hidraulica GWh;1053;5;2019
Solar GWh;149;1;2019
Ciclo combinado GWh;4126;21;2020
Turbinas a gas GWh;75;0;2020
Turbinas a vapor GWh;7357;38;2020
Motores diesel GWh;5308;27;2020
Hidraulica GWh;1285;7;2020
Solar GWh;296;2;2020
Ciclo combinado GWh;5954;28;2021
Turbinas a gas GWh;147;0;2021
Turbinas a vapor GWh;6820;32;2021
Motores diesel GWh;5320;25;2021
Hidraulica GWh;1497;7;2021
Solar GWh;486;2;2021
Ciclo combinado GWh;4088;21;2022
Turbinas a gas GWh;67;0;2022
Turbinas a vapor GWh;7002;35;2022
Motores diesel GWh;5341;27;2022
Hidraulica GWh;1457;7;2022
Solar GWh;732;4;2022
