TGE,TE,P,Año
Ciclo combinado GWh,3113,25,2010
Éolica GWh,0,0,2010
Turbinas a gas GWh,1279,10,2010
Turbinas a vapor GWh,2426,20,2010
Motores diesel GWh,4020,33,2010
Hidráulica GWh,1435,12,2010
Solar GWh,0,0,2010
Ciclo combinado GWh,3511,27,2011
Éolica GWh,0,0,2011
Turbinas a gas GWh,1524,12,2011
Turbinas a vapor GWh,2239,17,2011
Motores diesel GWh,4156,32,2011
Hidráulica GWh,1531,12,2011
Solar GWh,0,0,2011
Ciclo combinado GWh,3300,24,2012
Éolica GWh,68,0,2012
Turbinas a gas GWh,1428,10,2012
Turbinas a vapor GWh,2829,20,2012
Motores diesel GWh,4439,32,2012
Hidráulica GWh,1784,13,2012
Solar GWh,0,0,2012
Ciclo combinado GWh,2977,21,2013
Éolica GWh,197,1,2013
Turbinas a gas GWh,2233,16,2013
Turbinas a vapor GWh,2066,15,2013
Motores diesel GWh,4740,34,2013
Hidráulica GWh,1883,13,2013
Solar GWh,0,0,2013
Ciclo combinado GWh,2536,18,2014
Éolica GWh,247,2,2014
Turbinas a gas GWh,2296,16,2014
Turbinas a vapor GWh,2214,15,2014
Motores diesel GWh,5726,40,2014
Hidráulica GWh,1323,9,2014
Solar GWh,0,0,2014
Ciclo combinado GWh,3069,21,2015
Éolica GWh,284,2,2015
Turbinas a gas GWh,2432,16,2015
Turbinas a vapor GWh,2101,14,2015
Motores diesel GWh,6136,41,2015
Hidráulica GWh,934,6,2015
Solar GWh,0,0,2015
Ciclo combinado GWh,3655,23,2016
Éolica GWh,313,2,2016
Turbinas a gas GWh,1428,9,2016
Turbinas a vapor GWh,2141,13,2016
Motores diesel GWh,6831,43,2016
Hidráulica GWh,1500,9,2016
Solar GWh,23,0,2016
Ciclo combinado GWh,5193,32,2017
Éolica GWh,390,2,2017
Turbinas a gas GWh,399,2,2017
Turbinas a vapor GWh,2460,15,2017
Motores diesel GWh,5634,35,2017
Hidráulica GWh,2205,14,2017
Solar GWh,35,0,2017
Ciclo combinado GWh,6240,35,2018
Éolica GWh,492,3,2018
Turbinas a gas GWh,168,1,2018
Turbinas a vapor GWh,2457,14,2018
Motores diesel GWh,6213,35,2018
Hidráulica GWh,2090,12,2018
Solar GWh,74,0,2018
Ciclo combinado GWh,4455,23,2019
Éolica GWh,782,4,2019
Turbinas a gas GWh,1191,6,2019
Turbinas a vapor GWh,4166,22,2019
Motores diesel GWh,7464,39,2019
Hidráulica GWh,1053,5,2019
Solar GWh,149,1,2019
Ciclo combinado GWh,4126,21,2020
Éolica GWh,1101,6,2020
Turbinas a gas GWh,75,0,2020
Turbinas a vapor GWh,7357,38,2020
Motores diesel GWh,5308,27,2020
Hidráulica GWh,1285,7,2020
Solar GWh,296,2,2020
Ciclo combinado GWh,5954,28,2021
Éolica GWh,1231,6,2021
Turbinas a gas GWh,147,0,2021
Turbinas a vapor GWh,6820,32,2021
Motores diesel GWh,5320,25,2021
Hidráulica GWh,1497,7,2021
Solar GWh,486,2,2021
Ciclo combinado GWh,4088,21,2022
Éolica GWh,1175,6,2022
Turbinas a gas GWh,67,0,2022
Turbinas a vapor GWh,7002,35,2022
Motores diesel GWh,5341,27,2022
Hidráulica GWh,1457,7,2022
Solar GWh,732,4,2022
